statecode,latitude,longitude
MI,41.863572,-83.40453
MI,41.863572,-83.40453
MI,41.863572,-83.40453
MI,41.863572,-83.40453
TX,31.97087,-102.08332
ID,43.142081,-115.663272
ID,43.142081,-115.663272
CO,37.654494,-104.792958
AL,33.589759,-86.164334
TX,30.077367,-94.134465
MN,46.340344,-94.647111
MT,45.916598,-111.599443
KS,39.614255,-119.263645
KS,38.034901,-97.324483
IL,41.18045,-90.332243
IL,41.18045,-90.332243
GA,34.253081,-83.462894
TX,31.810294,-102.433502
ID,43.611684,-116.612817
NJ,40.123422,-74.713082
IL,38.995129,-110.185162
IL,38.995129,-110.185162
IL,38.995129,-110.185162
IL,38.995129,-110.185162
IL,38.995129,-110.185162
IL,38.995129,-110.185162
OH,41.590399,-84.107745
IN,39.532661,-86.802836
OH,41.402249,-82.65873
FL,29.059508,-82.27351
UT,38.996294,-110.148456
TN,36.177235,-85.948416
LA,30.102213,-90.487846
KY,36.975448,-84.10776
AL,32.801936,-86.582238
VA,36.886148,-81.372828
WI,44.2937,-90.8305
MI,42.272399,-84.955983
WI,44.935141,-92.195855
MT,45.983083,-112.508492
MD,39.026353,-76.0244
NJ,40.6079,-74.2413
MO,38.291088,-90.403785
IA,40.994817,-92.423231
MO,37.095231,-93.805768
MO,40.40571,-95.557837
MO,39.219377,-94.472899
MO,28.449609,-99.237657
AZ,35.198173,-111.651702
MS,31.669971,-89.157971
MO,39.91679,-91.526768
WV,39.467325,-80.117857
MS,31.350421,-89.340347
IN,39.947317,-86.35365
IA,41.687039,-92.008092
MO,40.40419,-95.556926
MO,38.058531,-91.401876
OH,40.055703,-81.282391
MS,34.298882,-88.773326
KY,39.701586,-86.074155
IN,41.537222,-87.310767
PA,39.985625,-78.257785
NC,35.58198,-78.14716
WI,43.416884,-89.471386
ID,42.320196,-111.297157
AL,30.577401,-87.422069
KS,39.029561,-96.787402
NC,35.319124,-78.57572
IA,41.647151,-91.16721
LA,30.48053,-92.593506
MO,36.899664,-93.926077
MD,39.642081,-75.863275
KS,39.838768,-99.888186
WI,42.885653,-89.067489
MO,38.534953,-90.387376
NC,35.54315,-82.753643
KS,32.619176,-96.824406
LA,30.4801,-90.4232
KS,37.64658,-98.71563
NJ,40.73001,-74.10523
WA,47.098776,-119.243532
WA,47.098776,-119.243532
WA,47.098776,-119.243532
KY,36.715005,-86.519586
VA,37.83825,-79.37204
OH,40.959842,-80.660301
GA,33.737007,-85.285899
MN,28.452608,-99.238396
OH,41.398871,-83.107241
IA,42.7889,-96.17432
GA,33.20505,-82.38976
PA,30.680712,-83.218989
UT,39.687072,-111.834716
AZ,32.27205,-109.242077
VA,36.919543,-80.898755
KS,39.563798,-97.656767
AZ,32.725439,-111.516564
AZ,0.0,0.0
AZ,35.192515,-114.070419
IL,40.753,-87.996
IL,40.753,-87.996
KY,37.368317,-86.844076
KS,37.285361,-100.349041
KY,37.415232,-86.499788
LA,32.446247,-93.903275
ID,43.496386,-112.051951
KY,39.614255,-119.263645
FL,28.357151,-80.780165
OR,44.365569,-123.061418
FL,26.89382,-82.00916
FL,26.89382,-82.00916
KY,37.212917,-84.186439
MD,39.694832,-78.148133
MO,36.518836,-89.60073
CO,39.270011,-103.709343
NC,36.508918,-80.742334
IL,38.312693,-88.952132
IL,38.312693,-88.952132
IL,38.312693,-88.952132
IL,38.312693,-88.952132
IL,38.312693,-88.952132
AR,33.999541,-93.184242
MO,38.970813,-92.399477
MO,37.131122,-92.255157
LA,30.48379,-90.45639
NE,41.437968,-97.321384
SC,34.009639,-81.042783
LA,30.239141,-93.129748
KY,37.080891,-88.67524
OH,40.878074,-81.429345
ND,46.860409,-101.008703
TX,32.20068,-96.471741
LA,32.029263,-93.713466
WA,46.617408,-120.493536
IN,40.046592,-86.489148
LA,30.17002,-90.87892
KY,38.151566,-85.069583
TX,28.327389,-98.113624
MA,44.290838,-105.478322
TN,36.135014,-85.479294
NC,35.571944,-82.956181
MN,43.923894,-91.438551
IL,38.313745,-88.95258
IL,38.313745,-88.95258
IL,38.313745,-88.95258
GA,33.551988,-83.474366
SD,43.853084,-101.483678
MI,42.090464,-86.412839
MI,43.742712,-85.505418
MI,43.742712,-85.505418
