statecode,longitude,latitude
MI,-83.875603,42.30073
MI,-83.875603,42.30073
MI,-83.875603,42.30073
MI,-83.875603,42.30073
PA,0.0,0.0
LA,0.0,0.0
TN,-85.311275,35.029222
AL,-85.506042,33.646698
MO,-93.222597,37.069975
VA,0.0,0.0
PA,-79.97611,41.197317
WI,-89.539462,43.523029
MO,-90.405675,38.287014
WI,-88.198383,43.282174
NY,-73.825318,42.396075
NM,0.0,0.0
ND,0.0,0.0
TX,-106.586165,31.99662
MO,0.0,0.0
TX,0.0,0.0
OH,0.0,0.0
MO,-92.407214,37.770947
MO,-90.948821,38.816845
MO,0.0,0.0
LA,-91.83246,30.312519
OH,-119.263645,39.614255
MO,-94.803356,39.784244
TX,-97.176815,33.262422
WA,-121.654509,47.440193
WA,-121.654509,47.440193
WA,-121.654509,47.440193
IN,0.0,0.0
KY,-84.161957,38.015304
OH,0.0,0.0
NM,-107.900126,35.182666
MO,0.0,0.0
IA,0.0,0.0
VA,0.0,0.0
MO,-90.624715,38.77501
KY,-85.348099,38.210304
AR,-92.828178,34.393746
FL,0.0,0.0
MO,-91.430848,39.929936
OK,0.0,0.0
OK,-97.34382,36.93994
TN,-84.237011,35.87362
TX,0.0,0.0
FL,0.0,0.0
WY,-107.310958,41.777828
MN,0.0,0.0
AZ,-114.523475,33.602133
MS,-89.933079,34.309657
TX,0.0,0.0
IL,-88.509494,42.144757
IL,-88.509494,42.144757
IL,-88.509494,42.144757
IL,-88.509494,42.144757
IL,-88.509494,42.144757
NV,-116.945012,40.649645
TX,-101.972833,35.847745
IN,0.0,0.0
IN,0.0,0.0
MS,-89.106091,30.433688
IA,-94.202285,42.485669
KY,0.0,0.0
MS,-89.167852,31.693222
MS,-89.116041,31.698335
ND,-99.990745,48.804094
OK,-99.5944,35.3409
OR,-118.042583,45.297472
MS,-90.171296,32.274681
TX,-97.812438,28.114072
MO,-95.185857,39.981504
UT,-114.037577,40.737177
MT,-112.50926,45.98393
MI,-86.066425,42.738273
MT,-108.917219,45.633966
WY,0.0,0.0
MO,0.0,0.0
TX,-97.151381,33.661434
WA,0.0,0.0
TN,-82.834866,36.325686
MT,-110.599255,45.653362
MD,-77.784577,39.630952
MT,0.0,0.0
MT,-112.50926,45.98393
AZ,-111.822032,35.238602
MD,-76.627926,39.102317
NC,-80.884909,35.273805
NC,-79.354106,36.072103
GA,0.0,0.0
OR,-117.726797,44.707717
CO,0.0,0.0
FL,0.0,0.0
IN,0.0,0.0
MD,-75.798005,39.643808
IL,0.0,0.0
IL,0.0,0.0
TN,-86.829247,35.860043
NC,-80.515204,35.967578
SD,0.0,0.0
NE,-96.493278,41.472681
AL,-86.863388,34.115854
MA,-72.619512,42.444955
ND,0.0,0.0
ND,-96.839556,46.825495
ND,-97.032371,47.924141
CO,-104.976562,40.16212
MO,-93.97437,40.46529
MN,0.0,0.0
ND,0.0,0.0
LA,-91.436151,30.41661
AR,-92.129461,34.781034
